X,Y,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Name,sector_name,Street_Address,City,County,State,Zip,PrimSource,source_desc,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
-12278907.1888,4155648.8926,35911,113,Cholla,803,Arizona Public Service Co,Electric Utility,4801 Cholla Lake Road,Joseph City,Navajo,Arizona,86032,coal,Coal = 383 MW,Conventional Steam Coal,425.9,383,,,383,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-110.3033,34.9394
-12195473.2305,3680128.1528,35912,114,Douglas,803,Arizona Public Service Co,Electric Utility,Sulpher Spring Rd/Lawrence Ave,Douglas,Cochise,Arizona,85607,petroleum,Petroleum = 15 MW,Petroleum Liquids,26.1,15,,,,,,,,,15,,,,"EIA-860, EIA-860M and EIA-923",202406,-109.5538,31.364122
-12458009.1176,3951518.9893,35913,116,Ocotillo,803,Arizona Public Service Co,Electric Utility,1500 East University,Tempe,Maricopa,Arizona,85281,natural gas,Natural Gas = 605 MW,Natural Gas Fired Combustion Turbine,626.2,605,,,,,,,605,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-111.9122,33.4225
-12485404.8442,3954080.084,35914,117,West Phoenix,803,Arizona Public Service Co,Electric Utility,4606 West Hadley,Phoenix,Maricopa,Arizona,85043,natural gas,Natural Gas = 909 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,1206.8,909,,,,,,,909,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-112.1583,33.4417
-12389859.3253,3835949.6986,35915,118,Saguaro,803,Arizona Public Service Co,Electric Utility,Mail Post 228,Red Rock,Pinal,Arizona,85245,natural gas,Natural Gas = 179.1 MW,Natural Gas Fired Combustion Turbine,184.5,179.1,,,,,,,179.1,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-111.3,32.5517
-12769525.5806,3858382.5911,35916,120,Yucca,803,Arizona Public Service Co,Electric Utility,7522 South Somerton Ave.,Yuma,Yuma,Arizona,85364,natural gas,"Natural Gas = 258.4 MW, Petroleum = 71 MW",Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine; Petroleum Liquids,417,329.4,,,,,,,258.4,,71,,,,"EIA-860, EIA-860M and EIA-923",202406,-114.7106,32.7214
-12355589.3974,3796471.1239,35917,124,Demoss Petrie,24211,Tucson Electric Power Co,Electric Utility,2501 N Flowing Wells Road,Tucson,Pima,Arizona,85705,natural gas,Natural Gas = 75 MW,Natural Gas Fired Combustion Turbine,85,75,,,,,,,75,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-110.992148,32.252273
-12345854.7306,3784331.4864,35918,126,H Wilson Sundt Generating Station,24211,Tucson Electric Power Co,Electric Utility,3950 E Irvington Road,Tucson,Pima,Arizona,85714,natural gas,Natural Gas = 490 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine; Natural Gas Steam Turbine,528.9,490,,,,,,,490,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-110.9047,32.16
-8918164.526,3944719.6299,35919,130,Cross,17543,South Carolina Public Service Authority,Electric Utility,553 Cross Station Road,Cross,Berkeley,South Carolina,29436,coal,Coal = 2330 MW,Conventional Steam Coal,2390.1,2330,,,2330,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-80.113235,33.371506
-9087319.279,3469282.6246,35920,136,Seminole (FL),21554,Seminole Electric Cooperative Inc,Electric Utility,State Highway 19,Palatka,Putnam,Florida,32708,natural gas,"Coal = 634 MW, Natural Gas = 1104 MW",Conventional Steam Coal; Natural Gas Fired Combined Cycle;,1897.8,1738,,,634,,,,1104,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-81.632778,29.733056
-12491750.0552,3969351.7094,35921,141,Agua Fria,16572,Salt River Project,Electric Utility,7302 W Northern Ave,Glendale,Maricopa,Arizona,85303,natural gas,"Battery = 25 MW, Natural Gas = 544 MW, Petroleum = 181 MW,Solar = 0.2 MW",Batteries; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine; Petroleum Liquids; Solar Photovoltaic,737.5,750.2,25,,,,,,544,,181,0.2,,,"EIA-860, EIA-860M and EIA-923",202406,-112.2153,33.5561
-12460580.5978,3942599.5959,35924,147,Kyrene,16572,Salt River Project,Electric Utility,7005 S Kyrene Rd.,Tempe,Maricopa,Arizona,85283,natural gas,Natural Gas = 525 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine,573.7,525,,,,,,,525,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-111.9353,33.3556
-13462020.7557,4527198.3171,35928,151,McClure,12745,Modesto Irrigation District,Electric Utility,639 S. McClure Rd.,Modesto,Stanislaus,California,95354,natural gas,"Natural Gas = 53.5 MW, Petroleum = 53.5 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,142.4,107,,,,,,,53.5,,53.5,,,,"EIA-860, EIA-860M and EIA-923",202406,-120.93139,37.62936
-12233243.9337,3771228.5445,35933,160,Apache Station,796,Arizona Electric Pwr Coop Inc,Electric Utility,3525 N US Hwy 191,Cochise,Cochise,Arizona,85606,natural gas,"Coal = 175 MW, Natural Gas = 373.5 MW",Conventional Steam Coal; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine,660.7,548.5,,,175,,,,373.5,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-109.8931,32.0603
-10607567.486,4326835.0169,35936,165,GREC,7490,Grand River Dam Authority,Electric Utility,8142 Hwy 412B,Chouteau,Mayes,Oklahoma,74337,natural gas,"Coal = 492.5 MW, Natural Gas = 480.7 MW",Conventional Steam Coal; Natural Gas Fired Combined Cycle;,1194.3,973.2,,,492.5,,,,480.7,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-95.2894,36.190278
-10342126.1602,4087241.0608,35938,170,Lake Catherine,814,Entergy Arkansas LLC,Electric Utility,"Hwy. 270, PO Box 218",Jones Mill,Hot Spring,Arkansas,72105,natural gas,Natural Gas = 522 MW,Natural Gas Steam Turbine,552.5,522,,,,,,,522,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-92.9049,34.4341
-10015292.1352,4260157.6118,35939,172,Osceola (AR),14216,City of Osceola - (AR),Electric Utility,100 West Semmes Ave.,Osceola,Mississippi,Arkansas,72370,petroleum,Petroleum = 1.6 MW,Petroleum Liquids,1.6,1.6,,,,,,,,,1.6,,,,"EIA-860, EIA-860M and EIA-923",202406,-89.9689,35.705381
-10039537.5203,4353837.5371,35945,193,Municipal Light,15043,City of Piggott - (AR),Electric Utility,Castleberry Street,Piggott,Clay,Arkansas,72454,petroleum,Petroleum = 7.2 MW,Petroleum Liquids,7.2,7.2,,,,,,,,,7.2,,,,"EIA-860, EIA-860M and EIA-923",202406,-90.1867,36.3858
-10442316.5962,4226895.9039,35951,201,Thomas Fitzhugh,807,Arkansas Electric Coop Corp,Electric Utility,6006 Lock and Dam Road,Ozark,Franklin,Arkansas,72949,natural gas,Natural Gas = 162 MW,Natural Gas Fired Combined Cycle,185,162,,,,,,,162,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-93.804926,35.462382
-10170530.0594,4199284.3864,35952,202,Carl Bailey,807,Arkansas Electric Coop Corp,Electric Utility,535 Woodruff 816,Augusta,Woodruff,Arkansas,72006,natural gas,Natural Gas = 122 MW,Natural Gas Steam Turbine,120,122,,,,,,,122,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-91.363426,35.260102
-10329524.7938,3970513.9271,35953,203,McClellan (AR),807,Arkansas Electric Coop Corp,Electric Utility,1625 Bradley Ferry Road,Camden,Ouachita,Arkansas,71701,natural gas,Natural Gas = 134 MW,Natural Gas Steam Turbine,136,134,,,,,,,134,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-92.7917,33.5648
-13827027.3473,4974287.4184,35982,246,Humboldt Bay,14328,Pacific Gas & Electric Co.,Electric Utility,Buhne Pt. 1000 King Salmon Ave,Eureka,Humboldt,California,95503,natural gas,Natural Gas = 163.4 MW,Natural Gas Internal Combustion Engine,167,163.4,,,,,,,163.4,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-124.2103,40.7415
-13556737.0558,4411938.3822,35990,260,Dynegy Moss Landing Power Plant Hybrid,54802,Dynegy -Moss Landing LLC,IPP Non-CHP,7301 State Highway 1,Moss Landing,Monterey,California,95039,natural gas,"Battery = 750 MW, Natural Gas = 1020 MW",Batteries; Natural Gas Fired Combined Cycle;,2148,1770,750,,,,,,1020,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-121.782241,36.804837
-10714779.2876,3687662.9582,36020,298,Limestone,54888,NRG Texas Power LLC,IPP Non-CHP,"Route1, Box 85",Jewett,Limestone,Texas,75846,coal,Coal = 1660 MW,Conventional Steam Coal,1849.8,1660,,,1660,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-96.2525,31.4219
-13146932.0502,3997799.6025,36024,315,AES Alamitos LLC,22148,AES Alamitos LLC,IPP Non-CHP,690 N Studebaker Road,Long Beach,Los Angeles,California,90803,natural gas,Natural Gas = 1152 MW,Natural Gas Steam Turbine,1115,1152,,,,,,,1152,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-118.1009,33.7688
-13133384.4682,3981086.1359,36038,335,AES Huntington Beach LLC,23693,AES Huntington Beach LLC,IPP Non-CHP,21730 Newland Street,Huntington Beach,Orange,California,92646,natural gas,Natural Gas = 225.8 MW,Natural Gas Steam Turbine,218,225.8,,,,,,,225.8,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-117.9792,33.6439
-13160724.5351,3997170.2325,36044,341,Long Beach Generation LLC,11181,Long Beach Generation LLC,IPP Non-CHP,2665 Pier S Lane,Long Beach,Los Angeles,California,90802,natural gas,Natural Gas = 260 MW,Natural Gas Fired Combustion Turbine,252,260,,,,,,,260,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-118.2248,33.7641
-13265821.2664,4046163.651,36047,350,Ormond Beach,63843,"Ormond Beach Power, LLC",IPP Non-CHP,6635 S. Edison Drive,Oxnard,Ventura,California,93033,natural gas,Natural Gas = 1491 MW,Natural Gas Steam Turbine,1612,1491,,,,,,,1491,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-119.1689,34.1292
-13051297.4757,4039791.0633,36051,358,Mountainview Generating Station,17609,Southern California Edison Co,Electric Utility,2492 West San Bernardino Ave.,Redlands,San Bernardino,California,92374,natural gas,Natural Gas = 1018 MW,Natural Gas Fired Combined Cycle,1036.8,1018,,,,,,,1018,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-117.2418,34.0818
-13166668.9959,4049714.4896,36057,377,Grayson,7294,City of Glendale - (CA),Electric Utility,800 Air Way,Glendale,Los Angeles,California,91201,natural gas,Natural Gas = 48 MW,Natural Gas Fired Combustion Turbine,57.4,48,,,,,,,48,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-118.2782,34.1556
-12861853.9663,3869081.5698,36066,389,El Centro Hybrid,9216,Imperial Irrigation District,Electric Utility,485 E. Villa Avenue,El Centro,Imperial,California,92243,natural gas,"Battery = 30 MW, Natural Gas = 293.1 MW",Batteries; Natural Gas Fired Combined Cycle; Natural Gas Steam Turbine,388.3,323.1,30,,,,,,293.1,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-115.54,32.802222
